time,milk,no_milk
289,0.953150311,0.765827408
289.5,0.963088665,0.77079628
290,0.963088665,0.77079628
290.5,0.958119488,0.765827408
291,0.953150311,0.765827408
291.5,0.953150311,0.77079628
292,0.968057842,0.775765152
292.5,0.963088665,0.765827408
293,0.963088665,0.77079628
293.5,0.953150311,0.755889664
294,0.958119488,0.77079628
294.5,0.958119488,0.765827408
295,0.963088665,0.775765152
295.5,0.963088665,0.775765152
296,0.963088665,0.775765152
296.5,0.968057842,0.780734024
297,0.958119488,0.765827408
297.5,0.963088665,0.775765152
298,0.953150311,0.760858536
298.5,0.97302702,0.790671768
299,0.968057842,0.785702896
299.5,0.968057842,0.790671768
300,0.968057842,0.780734024
300.5,0.963088665,0.785702896
301,0.97302702,0.775765152
301.5,0.963088665,0.780734024
302,0.97302702,0.785702896
302.5,0.97302702,0.780734024
303,0.968057842,0.780734024
303.5,0.963088665,0.785702896
304,0.968057842,0.785702896
304.5,0.977996197,0.79564064
305,0.963088665,0.785702896
305.5,0.97302702,0.790671768
306,0.963088665,0.780734024
306.5,0.977996197,0.785702896
307,0.97302702,0.785702896
307.5,0.968057842,0.785702896
308,0.968057842,0.785702896
308.5,0.968057842,0.790671768
309,0.968057842,0.790671768
309.5,0.968057842,0.785702896
310,0.958119488,0.785702896
310.5,0.968057842,0.785702896
311,0.97302702,0.785702896
311.5,0.968057842,0.79564064
312,0.968057842,0.790671768
312.5,0.968057842,0.785702896
313,0.968057842,0.790671768
313.5,0.968057842,0.790671768
314,0.977996197,0.79564064
314.5,0.97302702,0.785702896
315,0.97302702,0.79564064
315.5,0.97302702,0.785702896
316,0.97302702,0.790671768
316.5,0.968057842,0.790671768
317,0.97302702,0.790671768
317.5,0.968057842,0.785702896
318,0.977996197,0.800609512
318.5,0.97302702,0.790671768
319,0.97302702,0.790671768
319.5,0.97302702,0.790671768
320,0.982965374,0.79564064
320.5,0.977996197,0.79564064
321,0.982965374,0.79564064
321.5,0.977996197,0.800609512
322,0.968057842,0.790671768
322.5,0.97302702,0.790671768
323,0.977996197,0.800609512
323.5,0.977996197,0.800609512
324,0.977996197,0.805578384
324.5,0.977996197,0.79564064
325,0.987934551,0.805578384
325.5,0.987934551,0.805578384
326,0.982965374,0.79564064
326.5,0.97302702,0.79564064
327,0.982965374,0.810547256
327.5,0.992903728,0.810547256
328,0.977996197,0.79564064
328.5,0.977996197,0.800609512
329,0.982965374,0.805578384
329.5,0.982965374,0.805578384
330,0.987934551,0.805578384
330.5,0.992903728,0.815516129
331,0.982965374,0.805578384
331.5,0.982965374,0.800609512
332,0.977996197,0.805578384
332.5,0.987934551,0.805578384
333,0.987934551,0.815516129
333.5,0.977996197,0.805578384
334,0.982965374,0.810547256
334.5,0.992903728,0.810547256
335,0.982965374,0.800609512
335.5,0.992903728,0.815516129
336,0.987934551,0.815516129
336.5,0.987934551,0.815516129
337,0.987934551,0.815516129
337.5,0.982965374,0.805578384
338,0.987934551,0.820485001
338.5,0.992903728,0.820485001
339,0.982965374,0.810547256
339.5,0.987934551,0.815516129
340,0.992903728,0.815516129
340.5,0.992903728,0.815516129
341,0.992903728,0.810547256
341.5,0.987934551,0.820485001
342,0.992903728,0.815516129
342.5,0.997872906,0.815516129
343,0.987934551,0.815516129
343.5,0.992903728,0.820485001
344,0.992903728,0.820485001
344.5,0.992903728,0.825453873
